,Start,End,Crackles,Wheezes,duration,start_index,end_index,start_index_int,end_index_int,y_segment,source
2,5.593,8.207,0,0,2.6140000000000008,123325.65,180964.35,123325,180964,"[-0.10861266 -0.10802389 -0.10736653 ...  0.04458845  0.04540022
  0.04607797]",123_1b1_Al_sc_Meditron
3,8.207,10.779,0,0,2.571999999999999,180964.35,237676.95,180964,237676,"[ 0.04693852  0.04766802  0.04834107 ... -0.39491746 -0.39092398
 -0.3868634 ]",123_1b1_Al_sc_Meditron
4,10.779,14.279,0,0,3.5,237676.95,314851.95,237676,314851,"[-0.3830207  -0.37910837 -0.37517038 ...  0.09325567  0.09871512
  0.10396067]",123_1b1_Al_sc_Meditron
5,14.279,16.779,0,0,2.5,314851.95,369976.95,314851,369976,[0.10950511 0.11496249 0.12004764 ... 0.613966   0.6179771  0.6219828 ],123_1b1_Al_sc_Meditron
6,16.779,19.45,0,0,2.6709999999999994,369976.95,428872.5,369976,428872,[0.625793   0.6294407  0.6332024  ... 0.08392782 0.08365522 0.08347898],123_1b1_Al_sc_Meditron
7,19.45,19.979,0,0,0.5289999999999999,428872.5,440536.94999999995,428872,440536,"[ 0.08332982  0.08309231  0.0828813  ... -0.04689065 -0.04696699
 -0.04726908]",123_1b1_Al_sc_Meditron
0,0.0,1.8954,1,1,1.8954,0.0,41793.57,0,41793,"[ 6.02844229e-05  7.29809472e-05  8.14213563e-05 ... -1.04684904e-01
 -1.04641221e-01 -1.04604349e-01]",124_1b1_Al_sc_Litt3200
1,1.8954,3.2007,0,1,1.3053,41793.57,70575.435,41793,70575,"[-0.10457417 -0.10455059 -0.10453367 ... -0.07340369 -0.07315426
 -0.07289312]",124_1b1_Al_sc_Litt3200
2,3.2007,4.5909,0,1,1.3902000000000005,70575.435,101229.34500000002,70575,101229,"[-0.07262003 -0.07233496 -0.07203822 ... -0.03242426 -0.03279904
 -0.03318408]",124_1b1_Al_sc_Litt3200
3,4.5909,5.8841,0,1,1.2931999999999997,101229.34500000002,129744.405,101229,129744,"[-0.03357973 -0.03398634 -0.03440441 ... -0.03239305 -0.03294005
 -0.03348697]",124_1b1_Al_sc_Litt3200
4,5.8841,7.2258,0,1,1.3416999999999994,129744.405,159328.88999999998,129744,159328,"[-0.03403397 -0.03458139 -0.03512981 ... -0.14312316 -0.14298397
 -0.14285639]",124_1b1_Al_sc_Litt3200
5,7.2258,8.4867,0,1,1.2609000000000012,159328.88999999998,187131.73500000002,159328,187131,"[-0.14274068 -0.14263745 -0.14254653 ... -0.03351753 -0.03344607
 -0.03338687]",124_1b1_Al_sc_Litt3200
6,8.4867,9.6466,0,1,1.1598999999999986,187131.73500000002,212707.53,187131,212707,"[-0.033345   -0.03332423 -0.03332654 ... -0.18156745 -0.18086675
 -0.18013367]",124_1b1_Al_sc_Litt3200
7,9.6466,12.528,0,0,2.881400000000001,212707.53,276242.4,212707,276242,"[-0.17937163 -0.17858528 -0.17778002 ...  0.0126382   0.0087809
  0.00508362]",124_1b1_Al_sc_Litt3200
0,0.71479,2.0065,0,1,1.29171,15761.1195,44243.325,15761,44243,"[ 0.00157081  0.00154398  0.00161204 ... -0.02195978 -0.0223384
 -0.0227031 ]",124_1b1_Ar_sc_Litt3200
1,2.0065,3.3853,0,1,1.3788,44243.325,74645.865,44243,74645,"[-0.02305366 -0.0233902  -0.02371312 ... -0.02345736 -0.02307528
 -0.02267982]",124_1b1_Ar_sc_Litt3200
2,3.3853,4.5827,0,1,1.1974,74645.865,101048.535,74645,101048,"[-0.02227076 -0.02184813 -0.02141224 ...  0.04307248  0.04315337
  0.0432341 ]",124_1b1_Ar_sc_Litt3200
3,4.5827,5.6821,0,1,1.0994000000000002,101048.535,125290.30500000001,101048,125290,[0.04331609 0.0434005  0.04348813 ... 0.06868613 0.06858318 0.06848752],124_1b1_Ar_sc_Litt3200
4,5.6821,6.9447,0,1,1.2626,125290.30500000001,153130.635,125290,153130,[0.06839942 0.06831914 0.06824657 ... 0.10691717 0.10677564 0.1066319 ],124_1b1_Ar_sc_Litt3200
5,6.9447,7.997,0,1,1.0522999999999998,153130.635,176333.85,153130,176333,[0.10648663 0.10634019 0.10619293 ... 0.04840459 0.04840665 0.04840716],124_1b1_Ar_sc_Litt3200
6,7.997,11.248,0,0,3.2509999999999994,176333.85,248018.4,176333,248018,[0.04840665 0.04840539 0.04840369 ... 0.04765214 0.03324103 0.01932526],124_1b1_Ar_sc_Litt3200
0,1.0111,2.181,0,0,1.1699,22294.755,48091.05,22294,48091,"[ 0.08020257  0.07965634  0.07914677 ... -0.00706894 -0.00691282
 -0.00675531]",124_1b1_Ll_sc_Litt3200
1,2.181,3.3744,0,0,1.1934,48091.05,74405.52,48091,74405,"[-0.00659588 -0.00643423 -0.00627045 ...  0.01208171  0.01179489
  0.01151103]",124_1b1_Ll_sc_Litt3200
2,3.3744,4.6559,0,0,1.2814999999999999,74405.52,102662.595,74405,102662,[0.01123168 0.01095804 0.0106908  ... 0.04861533 0.04871845 0.04882222],124_1b1_Ll_sc_Litt3200
3,4.6559,5.7847,0,0,1.1288,102662.595,127552.635,102662,127552,[0.04892503 0.04902525 0.04912153 ... 0.00829045 0.00796569 0.00764498],124_1b1_Ll_sc_Litt3200
4,5.7847,7.0662,0,0,1.2815000000000003,127552.635,155809.71,127552,155809,[0.00732653 0.00700864 0.00668988 ... 0.00468482 0.00443825 0.00419202],124_1b1_Ll_sc_Litt3200
5,7.0662,8.3419,0,0,1.2757000000000005,155809.71,183938.89500000002,155809,183938,"[ 0.00394654  0.0037021   0.00345883 ... -0.02374242 -0.02368532
 -0.02362659]",124_1b1_Ll_sc_Litt3200
6,8.3419,9.5176,0,0,1.175699999999999,183938.89500000002,209863.08,183938,209863,"[-0.02356716 -0.0235074  -0.02344716 ... -0.01366095 -0.01367745
 -0.01368698]",124_1b1_Ll_sc_Litt3200
7,9.5176,12.375,0,0,2.8574,209863.08,272868.75,209863,272868,"[-0.01369117 -0.01369226 -0.01369293 ... -0.06564067 -0.06566495
 -0.06568363]",124_1b1_Ll_sc_Litt3200
8,12.375,14.009,0,0,1.6340000000000003,272868.75,308898.45,272868,308898,"[-0.06569679 -0.06570434 -0.06570612 ...  0.01786616  0.01811396
  0.01836547]",124_1b1_Ll_sc_Litt3200
9,14.009,18.224,0,0,4.215,308898.45,401839.2,308898,401839,[0.01862068 0.01887939 0.01914129 ... 0.00792659 0.00539587 0.00298396],124_1b1_Ll_sc_Litt3200
0,1.3978,2.545,0,0,1.1472,30821.489999999998,56117.25,30821,56117,"[ 0.01185456  0.01157982  0.01131169 ... -0.01702113 -0.0168592
 -0.01670066]",124_1b1_Lr_sc_Litt3200
1,2.545,3.4417,0,0,0.8967,56117.25,75889.485,56117,75889,"[-0.01654576 -0.01639458 -0.01624703 ... -0.00656079 -0.00629376
 -0.00602334]",124_1b1_Lr_sc_Litt3200
2,3.4417,4.4274,0,0,0.9856999999999996,75889.485,97624.16999999998,75889,97624,"[-0.00574972 -0.00547347 -0.00519543 ... -0.00702515 -0.00682696
 -0.00662469]",124_1b1_Lr_sc_Litt3200
3,4.4274,5.4465,0,0,1.0191000000000008,97624.16999999998,120095.32500000001,97624,120095,"[-0.00641857 -0.0062092  -0.00599755 ...  0.04003123  0.03998356
  0.03993257]",124_1b1_Lr_sc_Litt3200
4,5.4465,6.4545,0,0,1.008,120095.32500000001,142321.725,120095,142321,"[ 0.03987795  0.03981961  0.03975764 ... -0.00634604 -0.00616926
 -0.0059897 ]",124_1b1_Lr_sc_Litt3200
5,6.4545,7.5349,0,0,1.0804,142321.725,166144.545,142321,166144,"[-0.00580866 -0.00562755 -0.00544777 ...  0.01594198  0.01601806
  0.01609283]",124_1b1_Lr_sc_Litt3200
6,7.5349,8.7211,0,0,1.1861999999999995,166144.545,192300.255,166144,192300,"[ 0.01616601  0.01623742  0.01630708 ... -0.00765203 -0.00748349
 -0.00730603]",124_1b1_Lr_sc_Litt3200
7,8.7211,11.155,0,0,2.4338999999999995,192300.255,245967.75,192300,245967,"[-0.00711949 -0.00692369 -0.00671859 ...  0.0298957   0.02990363
  0.0299086 ]",124_1b1_Lr_sc_Litt3200
8,11.155,13.544,0,0,2.389000000000001,245967.75,298645.2,245967,298645,"[ 0.02991098  0.02991101  0.02990878 ... -0.02112275 -0.02088168
 -0.02062182]",124_1b1_Lr_sc_Litt3200
9,13.544,17.264,0,0,3.719999999999999,298645.2,380671.2,298645,380671,"[-0.02035    -0.02007346 -0.01979959 ...  0.01946432  0.01315328
  0.00721729]",124_1b1_Lr_sc_Litt3200
0,0.0,0.85947,0,0,0.85947,0.0,18951.3135,0,18951,"[-9.1891496e-07 -1.7438580e-06 -2.0806838e-06 ... -2.7009934e-02
 -2.6255269e-02 -2.5530502e-02]",124_1b1_Pl_sc_Litt3200
1,0.85947,2.2816,1,1,1.4221300000000001,18951.3135,50309.28,18951,50309,"[-0.0248465  -0.02421313 -0.02363927 ... -0.04917356 -0.0493351
 -0.04945495]",124_1b1_Pl_sc_Litt3200
2,2.2816,3.407,0,0,1.1254,50309.28,75124.35,50309,75124,"[-0.04953415 -0.04957509 -0.04958132 ... -0.03551462 -0.03490566
 -0.03429746]",124_1b1_Pl_sc_Litt3200
3,3.407,4.5941,0,0,1.1871,75124.35,101299.905,75124,101299,"[-0.0336892  -0.03308006 -0.03246941 ...  0.04634643  0.04621029
  0.0460659 ]",124_1b1_Pl_sc_Litt3200
4,4.5941,5.806,0,1,1.2119,101299.905,128022.3,101299,128022,[0.04591602 0.04576363 0.04561165 ... 0.06265579 0.06212534 0.06158683],124_1b1_Pl_sc_Litt3200
5,5.806,6.9376,0,0,1.1315999999999997,128022.3,152974.08,128022,152974,"[ 0.06104322  0.06049714  0.05995087 ... -0.09446295 -0.09392998
 -0.09340406]",124_1b1_Pl_sc_Litt3200
6,6.9376,9.584,0,0,2.6464,152974.08,211327.19999999998,152974,211327,"[-0.09288186 -0.09235974 -0.09183403 ...  0.01228761  0.00822698
  0.0044686 ]",124_1b1_Pl_sc_Litt3200
0,0.0,0.80587,0,0,0.80587,0.0,17769.4335,0,17769,"[ 1.0870351e-06  2.0231731e-05  4.4414806e-05 ... -7.8414725e-03
 -7.8806160e-03 -7.9056863e-03]",124_1b1_Pr_sc_Litt3200
1,0.80587,1.6979,0,0,0.89203,17769.4335,37438.695,17769,37438,"[-0.0079143  -0.00790487 -0.00787673 ...  0.0194173   0.01955472
  0.0196886 ]",124_1b1_Pr_sc_Litt3200
2,1.6979,2.8687,0,0,1.1708,37438.695,63254.835,37438,63254,[0.01981998 0.01995041 0.02008169 ... 0.02463947 0.02470168 0.02474277],124_1b1_Pr_sc_Litt3200
3,2.8687,4.1206,0,0,1.2518999999999996,63254.835,90859.23,63254,90859,"[ 0.02476376  0.02476607  0.02475168 ... -0.05590181 -0.05641359
 -0.05692318]",124_1b1_Pr_sc_Litt3200
4,4.1206,5.2813,0,0,1.1607000000000003,90859.23,116452.665,90859,116452,"[-0.05742556 -0.05791613 -0.0583908  ... -0.07883608 -0.07910766
 -0.07937682]",124_1b1_Pr_sc_Litt3200
5,5.2813,7.856,0,0,2.5747,116452.665,173224.8,116452,173224,"[-0.07964846 -0.07992763 -0.08021905 ... -0.0079576  -0.00592107
 -0.00380684]",124_1b1_Pr_sc_Litt3200
0,0.05,1.093,0,0,1.043,1102.5,24100.649999999998,1102,24100,"[-0.06853496 -0.07380021 -0.07698872 ... -0.04074254 -0.04093126
 -0.04125008]",125_1b1_Tc_sc_Meditron
1,1.093,4.936,0,0,3.843,24100.649999999998,108838.8,24100,108838,"[-0.04129071 -0.04128031 -0.04130739 ... -0.02788763 -0.02758819
 -0.02684344]",125_1b1_Tc_sc_Meditron
2,4.936,9.207,1,0,4.271000000000001,108838.8,203014.35,108838,203014,"[-0.02619471 -0.02600819 -0.02568262 ... -0.07830496 -0.07835827
 -0.07836115]",125_1b1_Tc_sc_Meditron
3,9.207,12.036,0,0,2.828999999999999,203014.35,265393.8,203014,265393,"[-0.07849739 -0.07842155 -0.0785982  ... -0.00978261 -0.00948303
 -0.00922249]",125_1b1_Tc_sc_Meditron
4,12.036,15.821,1,0,3.785,265393.8,348853.05,265393,348853,"[-0.00915152 -0.00904483 -0.00871873 ... -0.03034731 -0.03009737
 -0.02996745]",125_1b1_Tc_sc_Meditron
5,15.821,19.964,0,0,4.142999999999999,348853.05,440206.19999999995,348853,440206,"[-0.02971213 -0.02933956 -0.02905495 ...  0.00831263  0.00806392
  0.0080261 ]",125_1b1_Tc_sc_Meditron
0,0.022,0.422,0,0,0.39999999999999997,485.09999999999997,9305.1,485,9305,"[ 0.00531089  0.00556735  0.00563473 ... -0.02411901 -0.02437498
 -0.02461739]",126_1b1_Al_sc_Meditron
1,0.422,2.136,0,0,1.7140000000000002,9305.1,47098.8,9305,47098,"[-0.02498606 -0.0253511  -0.02569643 ... -0.00436702 -0.00542623
 -0.0063463 ]",126_1b1_Al_sc_Meditron
2,2.136,3.779,0,0,1.6429999999999998,47098.8,83326.95,47098,83326,"[-0.00690807 -0.00661811 -0.0059765  ... -0.00472847 -0.00525305
 -0.00560438]",126_1b1_Al_sc_Meditron
3,3.779,5.836,0,0,2.0570000000000004,83326.95,128683.8,83326,128683,"[-0.00602354 -0.00661794 -0.00704247 ... -0.00747281 -0.00753445
 -0.0072908 ]",126_1b1_Al_sc_Meditron
4,5.836,7.85,0,0,2.0139999999999993,128683.8,173092.5,128683,173092,"[-0.00719118 -0.00724969 -0.00726556 ... -0.00785834 -0.00753945
 -0.00719346]",126_1b1_Al_sc_Meditron
5,7.85,9.893,0,0,2.043000000000001,173092.5,218140.65000000002,173092,218140,"[-0.00761445 -0.00764721 -0.00762331 ... -0.00751543 -0.00717505
 -0.00728033]",126_1b1_Al_sc_Meditron
6,9.893,11.75,0,0,1.8569999999999993,218140.65000000002,259087.5,218140,259087,"[-0.00734615 -0.00725608 -0.00711482 ...  0.02336857  0.02329336
  0.0230348 ]",126_1b1_Al_sc_Meditron
7,11.75,13.679,0,0,1.9290000000000003,259087.5,301621.95,259087,301621,"[ 0.02300973  0.02299023  0.02273946 ... -0.02728909 -0.02724753
 -0.02729514]",126_1b1_Al_sc_Meditron
8,13.679,16.05,0,0,2.3710000000000004,301621.95,353902.5,301621,353902,"[-0.02706361 -0.02712219 -0.02707561 ...  0.01083377  0.01101771
  0.01079427]",126_1b1_Al_sc_Meditron
9,16.05,18.536,0,0,2.4860000000000007,353902.5,408718.80000000005,353902,408718,[0.01076744 0.01087928 0.01088521 ... 0.04677639 0.04731543 0.04745871],126_1b1_Al_sc_Meditron
10,18.536,19.964,0,0,1.4279999999999973,408718.80000000005,440206.19999999995,408718,440206,[0.04768344 0.04790003 0.04786855 ... 0.06368547 0.06366973 0.06329038],126_1b1_Al_sc_Meditron
0,0.05,2.404,0,0,2.354,1102.5,53008.2,1102,53008,"[ 0.00825671  0.00799503  0.00787617 ... -0.07838248 -0.07862525
 -0.07871754]",127_1b1_Ar_sc_Meditron
1,2.404,4.643,0,0,2.239,53008.2,102378.15,53008,102378,"[-0.07856786 -0.07895201 -0.07859507 ... -0.03342476 -0.03298209
 -0.03319031]",127_1b1_Ar_sc_Meditron
2,4.643,6.612,0,0,1.9690000000000003,102378.15,145794.6,102378,145794,"[-0.0332731  -0.03241163 -0.03194925 ... -0.03767923 -0.03774239
 -0.03746905]",127_1b1_Ar_sc_Meditron
3,6.612,9.037,0,0,2.4250000000000007,145794.6,199265.85,145794,199265,"[-0.03707267 -0.03665022 -0.03640739 ... -0.06389505 -0.0638869
 -0.06328526]",127_1b1_Ar_sc_Meditron
4,9.037,11.062,1,0,2.0249999999999986,199265.85,243917.09999999998,199265,243917,"[-0.06386741 -0.06396577 -0.06334906 ... -0.05341826 -0.05374369
 -0.05432103]",127_1b1_Ar_sc_Meditron
5,11.062,13.202,0,0,2.1400000000000006,243917.09999999998,291104.1,243917,291104,"[-0.05433176 -0.05423393 -0.05439716 ... -0.01827738 -0.01809867
 -0.01803824]",127_1b1_Ar_sc_Meditron
6,13.202,15.384,1,0,2.1820000000000004,291104.1,339217.2,291104,339217,"[-0.01853013 -0.01800498 -0.01794756 ...  0.01755434  0.01781536
  0.01764118]",127_1b1_Ar_sc_Meditron
7,15.384,17.167,0,0,1.7830000000000013,339217.2,378532.35000000003,339217,378532,[0.0181369  0.01841274 0.01775577 ... 0.01475257 0.01464159 0.01484126],127_1b1_Ar_sc_Meditron
8,17.167,19.421,1,0,2.253999999999998,378532.35000000003,428233.05,378532,428233,[0.0148137  0.01527646 0.01550267 ... 0.01033015 0.010297   0.01032929],127_1b1_Ar_sc_Meditron
9,19.421,19.934,0,0,0.5130000000000017,428233.05,439544.7,428233,439544,"[ 0.01047289  0.01073151  0.01117851 ... -0.01658946 -0.01715606
 -0.01745427]",127_1b1_Ar_sc_Meditron
0,0.022,3.15,1,0,3.128,485.09999999999997,69457.5,485,69457,"[-0.00178121 -0.00182335 -0.00180877 ...  0.00302084  0.00303729
  0.00304527]",128_1b3_Tc_mc_LittC2SE
1,3.15,8.107,0,0,4.956999999999999,69457.5,178759.34999999998,69457,178759,[0.00304306 0.00302336 0.00291949 ... 0.00049706 0.00058096 0.00055622],128_1b3_Tc_mc_LittC2SE
2,8.107,13.664,1,0,5.557,178759.34999999998,301291.2,178759,301291,[0.00047244 0.0004529  0.00034564 ... 0.00161505 0.00157706 0.00173691],128_1b3_Tc_mc_LittC2SE
3,13.664,19.35,1,0,5.686000000000002,301291.2,426667.50000000006,301291,426667,[0.00173987 0.00174764 0.00174037 ... 0.0001289  0.00016644 0.00023666],128_1b3_Tc_mc_LittC2SE
4,19.35,19.964,0,0,0.6139999999999972,426667.50000000006,440206.19999999995,426667,440206,[0.00024045 0.00023961 0.00025132 ... 0.00062966 0.00054388 0.0004665 ],128_1b3_Tc_mc_LittC2SE
0,0.036,1.322,0,0,1.286,793.8,29150.100000000002,793,29150,"[ 0.00634908  0.00624058  0.00624796 ... -0.05108755 -0.05127208
 -0.05146633]",129_1b1_Ar_sc_Meditron
1,1.322,3.993,1,0,2.671,29150.100000000002,88045.65,29150,88045,"[-0.05175715 -0.05182697 -0.05214002 ... -0.01253166 -0.01247833
 -0.01255676]",129_1b1_Ar_sc_Meditron
2,3.993,6.593,0,0,2.6,88045.65,145375.65,88045,145375,"[-0.01246353 -0.01243343 -0.01248179 ...  0.05430299  0.05430358
  0.05407946]",129_1b1_Ar_sc_Meditron
3,6.593,8.821,1,0,2.2279999999999998,145375.65,194503.05,145375,194503,"[ 0.05410233  0.05390208  0.05382266 ... -0.02235378 -0.02258483
 -0.02271638]",129_1b1_Ar_sc_Meditron
4,8.821,11.264,1,0,2.4429999999999996,194503.05,248371.19999999998,194503,248371,"[-0.02290067 -0.02293517 -0.02309053 ...  0.04051075  0.04010751
  0.03952436]",129_1b1_Ar_sc_Meditron
5,11.264,13.836,1,0,2.572000000000001,248371.19999999998,305083.8,248371,305083,"[ 0.03903248  0.03858835  0.03813457 ... -0.05081031 -0.05090228
 -0.05081352]",129_1b1_Ar_sc_Meditron
6,13.836,16.379,1,0,2.543000000000001,305083.8,361156.95,305083,361156,"[-0.05099925 -0.05112052 -0.05134372 ... -0.01741054 -0.01750513
 -0.01769743]",129_1b1_Ar_sc_Meditron
7,16.379,18.836,0,0,2.456999999999997,361156.95,415333.8,361156,415333,"[-0.01795251 -0.0181288  -0.01840978 ...  0.01623644  0.01568292
  0.01503578]",129_1b1_Ar_sc_Meditron
8,18.836,19.564,0,0,0.7280000000000015,415333.8,431386.2,415333,431386,[0.01440449 0.01386595 0.01316345 ... 0.01161947 0.01196513 0.01232633],129_1b1_Ar_sc_Meditron
0,0.697,2.423,0,0,1.726,15368.849999999999,53427.15,15368,53427,"[-0.21011834 -0.21023147 -0.2091126  ...  0.20596074  0.20481499
  0.20302197]",130_1p2_Al_mc_AKGC417L
1,2.423,5.101,0,0,2.678,53427.15,112477.05,53427,112477,[0.20117177 0.20086144 0.19992079 ... 0.29842415 0.30280626 0.30768895],130_1p2_Al_mc_AKGC417L
2,5.101,8.339,1,1,3.2380000000000004,112477.05,183874.95,112477,183874,"[ 0.3122494   0.31592384  0.32000446 ... -0.08065157 -0.07937104
 -0.07974743]",130_1p2_Al_mc_AKGC417L
3,8.339,11.28,1,0,2.940999999999999,183874.95,248724.0,183874,248724,"[-0.07945372 -0.07906063 -0.07788491 ... -0.3034559  -0.30089837
 -0.29858002]",130_1p2_Al_mc_AKGC417L
4,11.28,14.316,1,1,3.0360000000000014,248724.0,315667.8,248724,315667,"[-0.29546198 -0.29387218 -0.29295826 ...  0.03252698  0.03257919
  0.03184312]",130_1p2_Al_mc_AKGC417L
5,14.316,17.03,0,0,2.7140000000000004,315667.8,375511.5,315667,375511,"[ 0.03212492  0.03241571  0.03146571 ... -0.19699937 -0.2000491
 -0.20170179]",130_1p2_Al_mc_AKGC417L
6,17.03,19.554,0,1,2.5239999999999974,375511.5,431165.69999999995,375511,431165,"[-0.20396379 -0.20596585 -0.20798074 ... -0.10338835 -0.1022954
 -0.10116981]",130_1p2_Al_mc_AKGC417L
0,0.697,2.423,1,0,1.726,15368.849999999999,53427.15,15368,53427,[0.33439317 0.33325285 0.3321274  ... 0.04048117 0.04014748 0.03927414],130_1p2_Ar_mc_AKGC417L
1,2.423,5.101,1,0,2.678,53427.15,112477.05,53427,112477,"[ 0.03874775  0.03823006  0.03772526 ... -0.03012023 -0.03044552
 -0.03065765]",130_1p2_Ar_mc_AKGC417L
2,5.101,8.339,1,1,3.2380000000000004,112477.05,183874.95,112477,183874,"[-0.03108294 -0.03067652 -0.03097324 ...  0.0173355   0.0174114
  0.01708199]",130_1p2_Ar_mc_AKGC417L
3,8.339,11.28,1,0,2.940999999999999,183874.95,248724.0,183874,248724,[0.01709028 0.01706317 0.01675424 ... 0.05818122 0.05715793 0.05635783],130_1p2_Ar_mc_AKGC417L
4,11.28,14.316,1,1,3.0360000000000014,248724.0,315667.8,248724,315667,"[ 0.05595162  0.0551137   0.05430951 ... -0.02342913 -0.02372311
 -0.02406855]",130_1p2_Ar_mc_AKGC417L
5,14.316,17.03,1,1,2.7140000000000004,315667.8,375511.5,315667,375511,"[-0.02416219 -0.02423823 -0.02425752 ...  0.08382895  0.08414301
  0.08450904]",130_1p2_Ar_mc_AKGC417L
6,17.03,19.554,1,1,2.5239999999999974,375511.5,431165.69999999995,375511,431165,[0.08459061 0.08489527 0.08547057 ... 0.21843074 0.2154725  0.21245198],130_1p2_Ar_mc_AKGC417L
0,0.697,2.423,1,1,1.726,15368.849999999999,53427.15,15368,53427,"[-0.8838514  -0.87784564 -0.8707826  ...  0.28409263  0.28113943
  0.27471298]",130_1p2_Ll_mc_AKGC417L
1,2.423,5.101,1,1,2.678,53427.15,112477.05,53427,112477,"[ 0.27456003  0.26998666  0.2653258  ... -0.29900724 -0.30091068
 -0.29859623]",130_1p2_Ll_mc_AKGC417L
2,5.101,8.339,1,1,3.2380000000000004,112477.05,183874.95,112477,183874,"[-0.2969921  -0.29748115 -0.2959852  ... -0.14948186 -0.1528048
 -0.15381418]",130_1p2_Ll_mc_AKGC417L
3,8.339,11.28,1,1,2.940999999999999,183874.95,248724.0,183874,248724,"[-0.15272921 -0.15628292 -0.15625265 ... -0.11693817 -0.12160594
 -0.12202656]",130_1p2_Ll_mc_AKGC417L
4,11.28,14.316,1,1,3.0360000000000014,248724.0,315667.8,248724,315667,"[-0.13061048 -0.13321987 -0.13537118 ...  0.18449171  0.18466394
  0.18314505]",130_1p2_Ll_mc_AKGC417L
5,14.316,17.03,1,1,2.7140000000000004,315667.8,375511.5,315667,375511,"[ 0.18600346  0.18646468  0.18275161 ... -0.37035668 -0.3650318
 -0.36549002]",130_1p2_Ll_mc_AKGC417L
6,17.03,19.554,1,1,2.5239999999999974,375511.5,431165.69999999995,375511,431165,"[-0.36459208 -0.3580963  -0.36093178 ...  0.14493492  0.14914908
  0.156967  ]",130_1p2_Ll_mc_AKGC417L
0,0.697,2.423,1,0,1.726,15368.849999999999,53427.15,15368,53427,[0.3913998  0.39514515 0.3967176  ... 0.24002971 0.24400431 0.24375226],130_1p2_Lr_mc_AKGC417L
1,2.423,5.101,1,0,2.678,53427.15,112477.05,53427,112477,[0.24937117 0.25132087 0.25408524 ... 0.01263622 0.01241109 0.00997534],130_1p2_Lr_mc_AKGC417L
2,5.101,8.339,1,0,3.2380000000000004,112477.05,183874.95,112477,183874,[0.00997855 0.0096748  0.00956209 ... 0.06229117 0.06505549 0.06794185],130_1p2_Lr_mc_AKGC417L
3,8.339,11.28,1,0,2.940999999999999,183874.95,248724.0,183874,248724,"[ 0.06616076  0.06669394  0.06741419 ... -0.1460715  -0.14844128
 -0.14787923]",130_1p2_Lr_mc_AKGC417L
4,11.28,14.316,1,1,3.0360000000000014,248724.0,315667.8,248724,315667,"[-0.14743626 -0.1485081  -0.14746672 ...  0.15996419  0.15626206
  0.15652898]",130_1p2_Lr_mc_AKGC417L
5,14.316,17.03,1,1,2.7140000000000004,315667.8,375511.5,315667,375511,"[ 0.15978673  0.16039573  0.15880999 ... -0.18786953 -0.18302777
 -0.18118805]",130_1p2_Lr_mc_AKGC417L
6,17.03,19.554,1,1,2.5239999999999974,375511.5,431165.69999999995,375511,431165,"[-0.17746554 -0.175059   -0.17301625 ... -0.10862464 -0.10819776
 -0.11144578]",130_1p2_Lr_mc_AKGC417L
0,0.697,2.423,1,0,1.726,15368.849999999999,53427.15,15368,53427,[-1.0000001 -1.0000001 -1.0000001 ...  0.9999999  0.9999999  0.9999999],130_1p2_Pl_mc_AKGC417L
1,2.423,5.101,1,0,2.678,53427.15,112477.05,53427,112477,[0.9999999  0.9999999  0.9999999  ... 0.36989707 0.36205792 0.35519224],130_1p2_Pl_mc_AKGC417L
2,5.101,8.339,1,1,3.2380000000000004,112477.05,183874.95,112477,183874,[0.34721577 0.33932188 0.33234632 ... 0.9999999  0.9999999  0.9999999 ],130_1p2_Pl_mc_AKGC417L
3,8.339,11.28,1,0,2.940999999999999,183874.95,248724.0,183874,248724,[0.9999999  0.9999999  0.9999999  ... 0.29716107 0.2965098  0.2952955 ],130_1p2_Pl_mc_AKGC417L
4,11.28,14.316,1,1,3.0360000000000014,248724.0,315667.8,248724,315667,[0.29500577 0.29483476 0.29624727 ... 0.4194576  0.42028037 0.42132127],130_1p2_Pl_mc_AKGC417L
5,14.316,17.03,1,1,2.7140000000000004,315667.8,375511.5,315667,375511,"[ 0.42135292  0.42268598  0.42259997 ... -0.2072347  -0.2080494
 -0.20915267]",130_1p2_Pl_mc_AKGC417L
6,17.03,19.554,1,1,2.5239999999999974,375511.5,431165.69999999995,375511,431165,"[-0.21158078 -0.21157119 -0.21312031 ...  0.55230147  0.5483894
  0.54397947]",130_1p2_Pl_mc_AKGC417L
0,0.697,2.423,0,0,1.726,15368.849999999999,53427.15,15368,53427,"[ 0.05393877  0.05453577  0.05690495 ... -0.12559444 -0.1257109
 -0.12830293]",130_1p2_Pr_mc_AKGC417L
1,2.423,5.101,1,0,2.678,53427.15,112477.05,53427,112477,"[-0.12818874 -0.12764348 -0.1290485  ... -0.21432959 -0.21785368
 -0.22231042]",130_1p2_Pr_mc_AKGC417L
2,5.101,8.339,1,1,3.2380000000000004,112477.05,183874.95,112477,183874,"[-0.2264037  -0.22932272 -0.23311721 ... -0.09482601 -0.09388887
 -0.0941499 ]",130_1p2_Pr_mc_AKGC417L
3,8.339,11.28,1,0,2.940999999999999,183874.95,248724.0,183874,248724,"[-0.09368237 -0.09330554 -0.09352858 ... -0.17452237 -0.17491437
 -0.1774415 ]",130_1p2_Pr_mc_AKGC417L
